epoch,train_loss,train_acc,val_loss,val_acc
1,0.7354087312400099,0.8646774308272281,0.27863968156362395,0.9415321146596486
2,0.2476129046043704,0.9421900561917633,0.18042248244649003,0.9563269080304432
3,0.17696703606302974,0.9553488868340565,0.13780638981178361,0.9636531759015577
4,0.14535154541739106,0.9621061241909097,0.11326798683933177,0.969556867487019
5,0.1280421076147839,0.9647378903193684,0.10900380592828998,0.969983640372715
6,0.045827204179354195,0.9851874244256348,0.019259549492419092,0.9937406643431254
1,0.7316501783255417,0.8654954121914787,0.27728791216188153,0.9434525926452806
2,0.24490189176889865,0.9428302155203073,0.17837806240077106,0.9582473860160751
3,0.17504182955176878,0.9558467885340352,0.13749738224552913,0.965502525072907
4,0.14400424868625195,0.9623372928373284,0.1135362978642819,0.970837186144107
5,0.1271265543993578,0.9648445835407924,0.10655012380725773,0.9713350878440856
6,0.04799894515489356,0.9843872252649548,0.02321451641580784,0.992104701614624
7,0.018543180561318356,0.9945052990966641,0.016388831152938727,0.9945230813002347
8,0.011575388277857198,0.9965502525072907,0.01387998040109246,0.9952343694430614
9,0.011633384144364902,0.995945657585888,0.012161984926251809,0.9958033999573227
10,0.009898397354172608,0.9969236787822747,0.019959331949086646,0.994025179600256
